occupation,age,education_level,marital_status,communication_channel,call_month,call_day,call_duration,call_frequency,previous_campaign_outcome,conversion_status
technical_specialist,30,high_school,married,unidentified,May,30,189,5,unidentified,0
technical_specialist,29,college,married,unidentified,June,6,311,3,unidentified,0
retired_worker,74,high_school,married,landline,February,17,127,1,unidentified,1
executive,34,college,married,mobile,September,1,300,1,other_outcome,1
administrative_staff,39,high_school,married,unidentified,June,5,135,1,unidentified,0
administrative_staff,48,high_school,divorced,unidentified,May,26,76,2,unidentified,0
technical_specialist,35,college,married,mobile,August,11,222,3,successful,1
executive,47,college,divorced,mobile,July,30,137,2,unidentified,0
executive,29,college,single,mobile,April,20,453,1,unidentified,1
executive,58,college,divorced,mobile,April,30,354,1,successful,1
service_worker,32,high_school,married,mobile,May,15,20,6,unidentified,0
executive,47,high_school,married,mobile,January,29,324,1,unidentified,0
domestic_worker,48,elementary_school,single,mobile,August,3,113,2,unsuccessful,1
retired_worker,59,high_school,married,unidentified,May,14,1125,2,unidentified,1
administrative_staff,48,elementary_school,married,landline,July,31,1039,9,unidentified,1
technical_specialist,54,high_school,married,mobile,November,19,108,1,unidentified,0
student,25,high_school,single,mobile,September,2,799,2,unidentified,1
executive,30,college,single,mobile,February,27,192,2,unidentified,1
business_owner,44,high_school,married,mobile,July,14,194,2,unidentified,0
executive,40,college,single,mobile,May,13,130,1,unsuccessful,0
executive,32,college,single,unidentified,May,27,175,5,unidentified,0
technical_specialist,54,high_school,married,mobile,November,6,464,5,other_outcome,1
executive,53,college,married,mobile,August,5,306,2,other_outcome,1
business_owner,54,college,married,mobile,July,30,250,5,unidentified,0
retired_worker,71,high_school,married,mobile,October,6,486,1,unidentified,1
jobless,52,college,married,landline,February,6,43,4,unidentified,0
manual_worker,24,high_school,single,mobile,February,18,134,2,unidentified,1
student,25,unidentified,single,mobile,May,26,170,1,unidentified,1
technical_specialist,52,college,married,mobile,July,8,340,1,other_outcome,1
technical_specialist,37,high_school,married,mobile,August,28,77,4,unidentified,0
independent_worker,28,college,single,mobile,May,25,426,1,unidentified,1
service_worker,32,high_school,single,unidentified,May,28,63,2,unidentified,0
manual_worker,40,elementary_school,married,unidentified,May,19,84,3,unidentified,0
independent_worker,43,college,married,mobile,August,8,358,3,unidentified,0
executive,33,college,single,mobile,June,23,342,2,successful,1
manual_worker,49,elementary_school,married,unidentified,May,7,160,1,unidentified,0
independent_worker,32,college,single,mobile,November,18,482,1,unidentified,1
manual_worker,36,high_school,married,mobile,October,30,640,1,unidentified,1
executive,33,college,married,mobile,August,22,1258,2,unidentified,1
retired_worker,58,elementary_school,married,mobile,August,12,74,2,unidentified,0
manual_worker,38,high_school,married,unidentified,June,6,189,3,unidentified,0
executive,35,college,married,mobile,April,30,565,1,unsuccessful,1
executive,29,high_school,married,mobile,April,30,80,1,unidentified,0
retired_worker,70,high_school,married,mobile,October,27,258,1,successful,1
technical_specialist,35,high_school,married,mobile,May,5,101,2,unidentified,0
service_worker,25,high_school,single,mobile,April,27,107,1,unidentified,0
technical_specialist,33,college,married,mobile,July,29,90,3,unidentified,0
service_worker,46,high_school,divorced,mobile,November,19,314,3,unidentified,0
executive,38,college,married,mobile,October,23,336,2,unsuccessful,1
executive,63,college,married,landline,November,13,2184,2,unsuccessful,1
technical_specialist,31,high_school,single,mobile,January,12,229,1,successful,1
executive,39,college,divorced,mobile,August,18,74,3,unidentified,0
jobless,48,high_school,divorced,mobile,August,11,140,1,unidentified,1
executive,46,college,divorced,unidentified,May,30,1269,1,unidentified,1
manual_worker,27,high_school,single,mobile,May,18,351,1,unidentified,1
manual_worker,29,high_school,single,unidentified,June,4,130,3,unidentified,0
student,25,college,single,mobile,May,4,597,1,unidentified,1
executive,36,unidentified,single,mobile,April,13,398,2,unidentified,1
technical_specialist,41,high_school,single,mobile,July,14,397,2,unidentified,1
executive,44,college,married,mobile,August,6,265,2,unidentified,0
administrative_staff,30,high_school,single,unidentified,May,6,66,3,unidentified,0
independent_worker,29,college,single,unidentified,May,9,530,2,unidentified,0
technical_specialist,47,high_school,married,unidentified,September,11,91,1,other_outcome,1
technical_specialist,42,high_school,married,mobile,September,11,285,1,unidentified,1
administrative_staff,45,high_school,married,mobile,May,4,552,1,successful,1
service_worker,28,high_school,single,unidentified,May,27,8,2,unidentified,0
retired_worker,62,high_school,married,mobile,April,28,56,2,unidentified,0
technical_specialist,46,college,married,unidentified,May,16,243,3,unidentified,0
technical_specialist,54,high_school,married,mobile,October,20,595,2,successful,1
technical_specialist,42,high_school,married,mobile,November,19,101,1,unidentified,0
administrative_staff,37,high_school,single,mobile,February,3,129,1,other_outcome,1
technical_specialist,56,high_school,married,landline,November,4,465,1,unidentified,1
manual_worker,33,high_school,married,mobile,July,18,278,2,unidentified,1
technical_specialist,31,college,married,mobile,August,8,385,2,unidentified,0
manual_worker,25,high_school,single,mobile,July,23,633,1,unidentified,1
service_worker,37,college,single,mobile,September,13,323,9,other_outcome,1
manual_worker,40,elementary_school,single,mobile,May,13,109,1,unidentified,0
administrative_staff,34,high_school,married,mobile,May,15,92,4,unsuccessful,0
technical_specialist,44,high_school,single,mobile,August,12,1735,4,unidentified,1
technical_specialist,45,high_school,married,mobile,November,20,215,6,unsuccessful,0
manual_worker,33,high_school,married,mobile,April,20,285,1,unsuccessful,0
domestic_worker,57,elementary_school,married,mobile,August,18,89,3,unidentified,0
executive,31,college,single,unidentified,May,20,253,1,unidentified,0
administrative_staff,43,high_school,single,mobile,May,25,282,1,successful,1
manual_worker,29,unidentified,single,mobile,July,16,1806,4,unidentified,1
independent_worker,28,college,single,mobile,June,5,201,2,unidentified,1
jobless,40,college,single,mobile,March,2,263,2,successful,1
technical_specialist,36,high_school,married,mobile,August,28,965,4,unidentified,1
service_worker,24,high_school,married,mobile,May,11,733,2,unidentified,1
service_worker,38,high_school,single,mobile,May,12,1531,1,unidentified,1
administrative_staff,56,unidentified,married,mobile,August,12,465,9,unidentified,0
executive,30,college,single,mobile,August,12,241,2,unidentified,0
jobless,34,high_school,married,mobile,June,3,262,2,successful,1
manual_worker,41,elementary_school,married,mobile,February,3,157,1,unidentified,1
executive,35,college,single,mobile,December,22,410,3,other_outcome,1
service_worker,41,high_school,divorced,unidentified,May,14,133,1,unidentified,0
manual_worker,31,high_school,married,mobile,July,21,181,1,unidentified,0
executive,41,college,married,mobile,June,9,183,2,unsuccessful,1
student,20,unidentified,single,landline,April,16,55,2,unidentified,0
technical_specialist,33,high_school,married,mobile,May,4,367,1,unidentified,1
service_worker,48,high_school,married,mobile,May,8,255,2,unidentified,0
manual_worker,29,high_school,married,mobile,May,7,140,3,unidentified,0
executive,30,college,married,mobile,April,5,470,7,other_outcome,1
retired_worker,62,college,married,mobile,September,14,211,1,successful,1
technical_specialist,52,unidentified,married,mobile,November,19,222,3,unsuccessful,0
retired_worker,54,high_school,married,landline,February,5,305,4,unidentified,0
domestic_worker,59,high_school,married,mobile,August,5,123,2,unidentified,0
unidentified,54,unidentified,married,mobile,October,7,335,1,unidentified,1
executive,24,college,single,mobile,April,15,442,2,other_outcome,1
executive,36,college,married,mobile,July,28,53,2,unidentified,0
administrative_staff,30,high_school,married,mobile,May,8,127,1,unidentified,0
executive,36,college,divorced,mobile,November,20,378,8,unidentified,0
executive,36,college,single,mobile,May,11,608,3,unidentified,1
executive,37,college,married,mobile,August,13,257,5,unidentified,0
administrative_staff,47,high_school,divorced,mobile,May,27,439,1,successful,1
retired_worker,79,elementary_school,divorced,mobile,October,9,1106,2,unidentified,1
manual_worker,29,elementary_school,married,mobile,June,3,321,1,unidentified,1
manual_worker,43,high_school,married,mobile,August,12,235,2,successful,1
manual_worker,46,high_school,divorced,unidentified,May,28,232,4,unidentified,0
manual_worker,29,elementary_school,married,landline,July,21,53,1,unidentified,0
technical_specialist,30,high_school,single,mobile,January,30,130,2,other_outcome,0
executive,27,college,single,mobile,May,22,685,1,other_outcome,1
service_worker,32,elementary_school,married,mobile,July,31,77,5,unidentified,0
retired_worker,60,high_school,divorced,mobile,May,15,655,2,unidentified,1
executive,35,college,divorced,mobile,July,23,142,1,unidentified,0
technical_specialist,51,high_school,married,mobile,July,7,615,2,unidentified,1
business_owner,28,high_school,married,unidentified,May,27,1297,1,unidentified,0
executive,37,high_school,married,unidentified,May,20,168,1,unidentified,0
retired_worker,82,elementary_school,married,mobile,October,22,306,3,successful,1
technical_specialist,40,high_school,married,mobile,May,25,612,7,unidentified,1
service_worker,39,high_school,married,mobile,July,7,290,1,unidentified,0
executive,37,college,married,mobile,February,3,185,1,successful,1
jobless,42,high_school,divorced,unidentified,May,30,855,2,unidentified,1
executive,30,college,married,mobile,January,29,250,1,other_outcome,0
technical_specialist,33,high_school,married,mobile,March,15,261,4,unidentified,0
student,28,college,married,mobile,May,25,324,1,unidentified,0
service_worker,37,college,single,unidentified,June,17,43,1,unidentified,0
administrative_staff,28,high_school,married,mobile,February,4,11,6,other_outcome,0
independent_worker,29,college,married,mobile,May,7,253,2,unsuccessful,0
manual_worker,45,elementary_school,married,mobile,November,20,841,2,unidentified,1
independent_worker,27,high_school,married,mobile,January,29,194,1,unsuccessful,0
technical_specialist,35,high_school,married,mobile,August,29,240,2,unidentified,0
retired_worker,61,high_school,married,mobile,August,13,211,3,successful,1
technical_specialist,33,high_school,single,mobile,May,18,214,2,unidentified,0
administrative_staff,60,high_school,married,landline,June,15,351,6,unidentified,1
executive,37,college,single,mobile,August,18,244,2,unidentified,0
executive,31,college,married,mobile,August,13,460,2,unidentified,0
administrative_staff,51,high_school,married,mobile,February,9,18,3,other_outcome,0
executive,44,college,married,mobile,August,26,317,5,unidentified,0
executive,32,college,single,unidentified,May,13,500,2,unidentified,0
service_worker,38,high_school,married,unidentified,May,7,800,1,unidentified,0
manual_worker,44,elementary_school,married,unidentified,May,15,226,6,unidentified,0
executive,35,college,single,mobile,September,7,497,1,unidentified,1
jobless,48,elementary_school,married,mobile,November,21,213,2,unidentified,0
technical_specialist,61,high_school,divorced,mobile,October,19,131,1,unidentified,1
executive,30,college,single,mobile,March,10,272,1,unidentified,1
manual_worker,37,elementary_school,married,mobile,May,15,14,2,other_outcome,0
manual_worker,30,high_school,single,mobile,July,10,634,1,unidentified,1
student,22,high_school,single,landline,August,18,215,1,unsuccessful,1
executive,25,college,single,mobile,July,11,549,2,unidentified,0
administrative_staff,26,college,single,mobile,March,25,78,1,unidentified,0
manual_worker,32,high_school,married,mobile,May,4,20,5,unidentified,0
retired_worker,59,elementary_school,divorced,unidentified,June,5,910,2,unidentified,1
technical_specialist,40,high_school,married,mobile,August,10,107,4,successful,0
administrative_staff,40,high_school,married,mobile,July,17,64,1,unidentified,0
administrative_staff,42,unidentified,married,mobile,October,14,72,4,unsuccessful,0
administrative_staff,31,college,single,mobile,May,12,609,1,unidentified,1
technical_specialist,36,college,married,mobile,September,16,173,1,unidentified,1
manual_worker,34,high_school,married,mobile,November,12,413,1,successful,1
executive,32,college,single,mobile,February,3,443,2,unidentified,1
manual_worker,31,high_school,single,mobile,May,6,1205,1,unidentified,1
executive,57,high_school,married,mobile,November,17,83,1,unidentified,0
technical_specialist,35,high_school,married,mobile,August,13,823,2,unidentified,1
manual_worker,46,high_school,married,unidentified,May,7,145,1,unidentified,0
independent_worker,44,unidentified,married,mobile,May,4,364,3,unidentified,1
service_worker,50,high_school,married,landline,December,21,294,3,successful,1
executive,56,college,married,mobile,May,4,244,1,unidentified,1
technical_specialist,31,high_school,married,mobile,August,20,102,2,unidentified,0
business_owner,37,college,divorced,mobile,November,18,1164,2,unidentified,1
manual_worker,43,elementary_school,married,unidentified,June,17,179,2,unidentified,0
administrative_staff,43,high_school,single,mobile,July,12,220,3,unsuccessful,1
independent_worker,35,college,single,mobile,November,20,71,1,unsuccessful,0
administrative_staff,31,high_school,single,mobile,November,18,1978,1,unidentified,1
technical_specialist,32,high_school,married,mobile,July,28,446,2,unidentified,0
executive,32,college,married,mobile,September,3,420,1,successful,0
service_worker,29,high_school,single,mobile,May,11,82,1,other_outcome,0
technical_specialist,48,high_school,married,mobile,September,2,378,2,successful,1
technical_specialist,38,college,single,unidentified,May,6,87,1,unidentified,0
manual_worker,40,high_school,married,unidentified,November,9,299,1,unidentified,1
executive,39,college,married,mobile,May,5,811,2,unidentified,1
independent_worker,39,college,married,unidentified,June,6,554,1,unidentified,1
manual_worker,52,high_school,married,mobile,July,17,753,2,unidentified,1
manual_worker,47,unidentified,married,mobile,August,25,366,3,unidentified,1
business_owner,54,unidentified,divorced,landline,April,6,475,6,unsuccessful,1
executive,32,college,married,mobile,January,30,402,2,other_outcome,0
technical_specialist,44,college,single,unidentified,July,3,89,1,unidentified,0
administrative_staff,29,high_school,single,mobile,October,8,137,1,unidentified,1
administrative_staff,26,high_school,single,mobile,May,14,786,1,unidentified,1
technical_specialist,36,college,married,mobile,August,28,101,10,unidentified,0
executive,27,college,married,mobile,July,17,818,1,unidentified,0
student,27,college,single,mobile,January,28,965,3,unidentified,0
administrative_staff,34,college,married,mobile,July,30,292,1,successful,1
independent_worker,22,high_school,single,mobile,August,10,164,1,other_outcome,1
executive,54,college,married,mobile,October,2,849,2,successful,1
retired_worker,59,college,married,mobile,May,14,647,4,unidentified,1
business_owner,53,college,married,mobile,December,15,351,1,unidentified,1
unidentified,50,unidentified,married,mobile,July,9,464,1,unsuccessful,1
executive,42,unidentified,married,mobile,October,8,667,1,other_outcome,1
manual_worker,56,elementary_school,married,unidentified,May,29,228,3,unidentified,0
business_owner,39,elementary_school,married,mobile,November,19,419,5,unidentified,0
executive,39,college,married,mobile,July,15,838,3,unidentified,1
retired_worker,78,unidentified,divorced,landline,April,14,129,2,unidentified,0
manual_worker,32,elementary_school,married,unidentified,May,12,326,1,unidentified,0
administrative_staff,26,high_school,single,mobile,October,15,457,2,unidentified,1
manual_worker,36,high_school,married,unidentified,May,14,104,3,unidentified,0
business_owner,48,college,single,mobile,February,5,1017,4,unidentified,1
administrative_staff,56,high_school,married,landline,July,31,39,3,unidentified,0
service_worker,22,high_school,single,mobile,May,18,347,1,unidentified,1
technical_specialist,52,high_school,married,mobile,August,25,265,4,unidentified,0
retired_worker,52,elementary_school,divorced,mobile,July,31,395,4,unidentified,0
executive,37,college,married,mobile,May,20,291,2,other_outcome,1
executive,36,college,married,mobile,May,14,75,3,unidentified,0
retired_worker,62,high_school,married,mobile,February,4,94,5,successful,1
manual_worker,26,high_school,married,mobile,May,14,1094,2,unidentified,1
independent_worker,47,high_school,married,mobile,November,20,454,1,unidentified,1
administrative_staff,37,high_school,married,mobile,June,2,395,1,unidentified,1
student,28,high_school,single,mobile,July,2,423,3,unidentified,1
retired_worker,54,college,divorced,unidentified,May,21,86,6,unidentified,0
executive,44,college,married,mobile,August,21,719,5,unidentified,0
manual_worker,38,high_school,married,mobile,May,11,472,2,unidentified,0
executive,35,college,married,mobile,November,20,298,2,successful,0
domestic_worker,35,elementary_school,single,landline,June,5,522,3,unidentified,1
service_worker,43,high_school,divorced,mobile,July,31,106,4,unidentified,0
manual_worker,32,elementary_school,married,unidentified,May,8,23,4,unidentified,0
technical_specialist,49,college,married,mobile,August,5,875,2,unidentified,1
executive,50,college,married,mobile,April,30,780,1,unidentified,1
business_owner,56,college,married,unidentified,June,30,45,2,unidentified,0
technical_specialist,27,high_school,married,unidentified,May,21,857,1,unidentified,1
technical_specialist,58,high_school,married,mobile,February,10,511,3,successful,1
administrative_staff,28,high_school,single,mobile,January,29,254,3,successful,1
technical_specialist,31,college,single,mobile,June,3,411,1,unidentified,1
student,36,high_school,single,landline,February,5,36,9,other_outcome,0
service_worker,32,high_school,married,mobile,November,20,500,2,unsuccessful,1
administrative_staff,53,high_school,married,landline,December,15,476,1,unsuccessful,1
technical_specialist,56,high_school,married,unidentified,June,5,243,1,unidentified,0
administrative_staff,36,college,divorced,mobile,August,28,67,3,unsuccessful,0
independent_worker,32,college,single,mobile,November,18,72,1,unidentified,0
administrative_staff,25,college,married,mobile,May,26,253,1,unidentified,1
business_owner,42,high_school,married,unidentified,June,20,109,3,unidentified,0
service_worker,37,high_school,married,unidentified,May,30,43,2,unidentified,0
jobless,42,high_school,married,mobile,October,15,1176,3,successful,1
jobless,28,college,single,unidentified,May,5,125,2,unidentified,0
manual_worker,35,high_school,married,unidentified,May,30,1343,3,unidentified,1
executive,43,college,single,mobile,August,26,257,1,unsuccessful,1
executive,49,college,married,mobile,April,8,65,3,unidentified,0
administrative_staff,44,high_school,divorced,mobile,November,17,57,1,unidentified,0
manual_worker,39,high_school,single,mobile,July,23,87,3,unidentified,0
manual_worker,46,high_school,married,mobile,January,29,121,1,unsuccessful,0
retired_worker,70,high_school,married,landline,January,27,175,3,successful,0
independent_worker,34,college,married,mobile,August,28,730,11,unidentified,1
administrative_staff,33,high_school,single,mobile,June,5,110,2,unidentified,0
manual_worker,30,high_school,married,mobile,July,23,76,17,unidentified,0
technical_specialist,25,college,single,unidentified,May,15,147,1,unidentified,0
jobless,40,high_school,divorced,unidentified,May,14,163,5,unidentified,0
retired_worker,73,elementary_school,married,landline,August,6,338,1,unidentified,1
executive,35,college,single,mobile,April,16,693,2,unidentified,0
independent_worker,59,college,married,mobile,November,17,66,2,unidentified,0
service_worker,45,high_school,married,unidentified,May,15,139,1,unidentified,0
service_worker,41,college,single,unidentified,May,29,135,1,unidentified,0
service_worker,30,high_school,single,mobile,May,14,197,4,unidentified,0
executive,43,college,divorced,mobile,June,1,114,1,other_outcome,1
manual_worker,35,elementary_school,married,mobile,May,11,77,1,unsuccessful,0
administrative_staff,59,high_school,divorced,unidentified,May,20,171,1,unidentified,0
student,22,college,single,mobile,August,19,338,1,unidentified,1
student,28,high_school,single,mobile,May,25,252,1,unsuccessful,1
executive,54,college,married,unidentified,May,7,112,1,unidentified,0
technical_specialist,58,high_school,married,unidentified,May,15,113,1,unidentified,0
executive,43,college,divorced,unidentified,May,8,2087,2,unidentified,1
manual_worker,29,high_school,single,unidentified,May,23,249,1,unidentified,0
jobless,48,high_school,married,mobile,February,15,382,4,successful,1
student,25,high_school,single,mobile,August,10,245,1,unidentified,1
executive,35,college,divorced,mobile,August,25,157,4,unidentified,0
executive,39,college,married,mobile,August,8,124,2,unidentified,0
service_worker,37,high_school,married,mobile,May,25,377,1,unidentified,1
domestic_worker,46,high_school,married,mobile,May,27,181,3,successful,1
retired_worker,59,high_school,married,mobile,November,19,190,1,unsuccessful,0
technical_specialist,43,high_school,married,mobile,November,21,775,3,unidentified,1
executive,55,unidentified,married,mobile,August,31,186,3,successful,1
executive,38,college,married,mobile,September,23,134,1,unidentified,0
technical_specialist,25,high_school,single,mobile,July,8,574,2,unidentified,1
service_worker,39,high_school,divorced,mobile,November,20,34,1,unsuccessful,0
manual_worker,27,elementary_school,married,mobile,May,15,238,1,unidentified,0
service_worker,30,high_school,married,unidentified,May,13,117,1,unidentified,0
technical_specialist,27,high_school,single,mobile,July,8,732,1,unidentified,1
manual_worker,26,high_school,single,mobile,July,2,248,2,unidentified,1
technical_specialist,31,college,married,landline,July,31,9,16,unidentified,0
executive,47,college,married,mobile,August,22,47,7,unidentified,0
administrative_staff,32,college,single,mobile,May,15,58,1,unsuccessful,0
administrative_staff,32,high_school,married,mobile,September,1,729,1,unsuccessful,1
independent_worker,52,college,married,landline,April,30,917,1,unidentified,1
executive,31,high_school,single,mobile,May,18,309,1,unidentified,1
executive,30,high_school,single,mobile,November,21,528,1,unidentified,1
technical_specialist,30,high_school,married,mobile,August,14,1184,4,unidentified,1
executive,32,college,single,landline,December,3,37,1,unidentified,0
executive,29,college,single,mobile,April,30,99,1,other_outcome,0
domestic_worker,29,high_school,married,unidentified,June,18,262,9,unidentified,0
manual_worker,41,elementary_school,married,mobile,April,17,165,3,unidentified,0
manual_worker,31,high_school,single,mobile,May,15,123,5,unidentified,0
service_worker,28,high_school,married,mobile,May,18,16,5,other_outcome,0
executive,34,elementary_school,single,unidentified,May,27,88,1,unidentified,0
technical_specialist,27,college,single,mobile,June,2,74,1,successful,1
independent_worker,46,elementary_school,married,unidentified,June,11,138,1,unidentified,0
independent_worker,30,college,married,mobile,February,4,467,1,unidentified,1
executive,33,college,single,landline,May,5,399,2,other_outcome,0
technical_specialist,41,high_school,single,unidentified,June,20,17,10,unidentified,0
student,26,college,single,mobile,April,21,110,2,unidentified,1
executive,33,college,single,mobile,August,18,79,2,unidentified,0
administrative_staff,39,high_school,single,landline,November,21,1158,9,unidentified,1
service_worker,30,college,single,mobile,August,8,108,2,unidentified,0
manual_worker,25,high_school,single,mobile,March,5,418,1,unidentified,1
domestic_worker,30,college,single,mobile,August,4,139,1,successful,1
service_worker,25,high_school,single,mobile,June,15,284,1,unidentified,1
independent_worker,52,college,married,mobile,August,31,634,3,other_outcome,1
executive,30,college,single,mobile,April,30,554,1,successful,1
executive,44,college,married,mobile,August,27,523,3,unidentified,1
executive,36,high_school,married,mobile,November,19,227,1,unidentified,0
executive,29,college,single,mobile,April,30,645,1,unidentified,1
manual_worker,32,high_school,single,unidentified,May,9,190,1,unidentified,0
manual_worker,26,elementary_school,single,mobile,May,6,138,1,unidentified,0
technical_specialist,39,college,single,mobile,June,28,325,1,successful,1
technical_specialist,30,high_school,married,mobile,July,16,435,1,unidentified,1
manual_worker,46,high_school,single,unidentified,May,21,27,10,unidentified,0
service_worker,37,high_school,married,unidentified,June,3,72,3,unidentified,0
independent_worker,58,college,married,mobile,March,12,139,1,unidentified,1
technical_specialist,23,college,single,unidentified,May,28,806,1,unidentified,1
technical_specialist,42,college,single,mobile,July,24,212,3,unidentified,0
retired_worker,60,college,divorced,mobile,July,15,346,1,successful,1
jobless,29,high_school,single,mobile,April,14,207,2,unidentified,1
service_worker,32,college,single,mobile,June,3,273,1,unidentified,0
executive,59,college,married,mobile,April,30,119,1,unidentified,0
jobless,52,elementary_school,married,landline,July,30,694,2,unidentified,1
technical_specialist,32,college,married,mobile,July,17,421,1,unidentified,0
administrative_staff,35,elementary_school,single,unidentified,May,16,148,18,unidentified,0
retired_worker,67,high_school,divorced,mobile,February,8,186,2,successful,1
executive,31,college,divorced,mobile,July,16,241,1,unidentified,1
executive,43,college,single,mobile,June,30,275,2,unsuccessful,1
business_owner,32,college,married,landline,April,20,18,5,unsuccessful,0
retired_worker,75,college,married,mobile,November,16,1248,2,unsuccessful,1
technical_specialist,31,college,single,mobile,January,30,200,1,unsuccessful,0
independent_worker,28,college,married,mobile,April,20,219,1,unidentified,0
service_worker,26,high_school,single,mobile,March,2,185,2,other_outcome,0
student,18,unidentified,single,mobile,August,10,167,1,unidentified,1
manual_worker,32,high_school,married,mobile,April,3,272,1,unidentified,0
executive,67,college,married,mobile,November,10,344,2,successful,1
executive,52,college,single,mobile,July,28,30,9,unidentified,0
executive,64,college,married,landline,October,19,898,7,other_outcome,1
technical_specialist,24,high_school,single,unidentified,May,27,570,1,unidentified,0
executive,53,high_school,divorced,landline,December,22,119,1,unidentified,1
technical_specialist,30,high_school,single,mobile,October,6,144,1,unidentified,1
service_worker,33,high_school,married,mobile,May,14,629,4,unidentified,1
administrative_staff,40,high_school,married,mobile,September,15,215,1,unidentified,1
service_worker,49,high_school,married,mobile,April,16,1366,1,unidentified,1
executive,58,college,married,mobile,September,14,358,2,unidentified,1
manual_worker,39,elementary_school,married,mobile,November,17,96,1,unsuccessful,0
student,21,high_school,single,mobile,June,30,258,6,successful,1
domestic_worker,41,elementary_school,married,mobile,August,8,203,5,unidentified,0
executive,37,college,single,mobile,April,20,885,5,unsuccessful,1
manual_worker,38,high_school,single,mobile,October,27,297,1,unsuccessful,1
manual_worker,33,high_school,married,mobile,May,14,178,7,other_outcome,0
administrative_staff,36,high_school,married,mobile,July,22,167,9,unidentified,0
manual_worker,35,high_school,married,mobile,May,14,136,2,unsuccessful,0
administrative_staff,47,high_school,married,mobile,May,12,409,1,other_outcome,1
executive,47,college,married,landline,July,29,259,12,unidentified,0
executive,56,college,married,mobile,November,18,543,1,unidentified,1
manual_worker,35,high_school,single,mobile,July,15,632,6,unidentified,1
executive,48,high_school,married,mobile,July,7,407,1,successful,1
jobless,48,high_school,married,mobile,August,18,195,3,unidentified,0
service_worker,35,high_school,married,unidentified,May,21,190,5,unidentified,0
administrative_staff,26,elementary_school,single,unidentified,June,23,670,3,unidentified,1
service_worker,35,high_school,single,mobile,November,17,499,3,unidentified,0
domestic_worker,59,high_school,divorced,unidentified,June,6,42,1,unidentified,0
executive,29,high_school,single,mobile,November,16,236,1,successful,1
executive,44,college,married,unidentified,May,14,183,4,unidentified,0
technical_specialist,48,high_school,single,mobile,August,7,84,2,unidentified,0
technical_specialist,36,high_school,single,mobile,August,13,479,1,unidentified,1
technical_specialist,50,college,divorced,mobile,July,17,219,1,unidentified,0
administrative_staff,24,high_school,single,mobile,March,23,47,2,unidentified,0
technical_specialist,41,college,married,mobile,August,25,36,3,unidentified,0
executive,44,college,married,mobile,August,28,99,24,unidentified,0
technical_specialist,36,high_school,divorced,mobile,November,18,138,2,unidentified,0
executive,56,high_school,married,mobile,October,27,298,1,other_outcome,1
service_worker,37,high_school,married,landline,November,5,253,1,unidentified,1
executive,44,college,married,mobile,May,11,257,1,unidentified,0
manual_worker,30,elementary_school,married,unidentified,May,9,380,1,unidentified,0
manual_worker,56,high_school,married,unidentified,May,14,225,2,unidentified,0
technical_specialist,33,high_school,single,mobile,August,7,131,2,unidentified,0
domestic_worker,82,elementary_school,married,landline,April,14,118,6,unidentified,0
executive,46,college,single,mobile,August,11,83,6,unidentified,0
manual_worker,41,high_school,single,mobile,May,12,92,1,unidentified,0
technical_specialist,37,college,married,mobile,June,25,266,2,other_outcome,1
technical_specialist,43,high_school,married,mobile,March,10,159,3,unidentified,1
service_worker,36,high_school,married,unidentified,June,16,1093,1,unidentified,1
technical_specialist,31,high_school,married,mobile,May,4,347,2,unidentified,1
service_worker,31,high_school,divorced,unidentified,May,9,208,3,unidentified,0
technical_specialist,37,unidentified,married,mobile,May,8,66,1,unsuccessful,0
administrative_staff,59,high_school,single,mobile,April,20,84,1,unidentified,0
technical_specialist,32,college,single,mobile,May,22,796,1,unsuccessful,1
business_owner,34,high_school,married,mobile,April,20,428,1,unidentified,0
manual_worker,41,high_school,married,mobile,July,10,584,1,unidentified,1
administrative_staff,40,high_school,single,unidentified,May,7,161,3,unidentified,0
administrative_staff,48,high_school,married,mobile,August,7,76,2,unidentified,0
manual_worker,42,high_school,married,unidentified,May,14,71,1,unidentified,0
technical_specialist,55,college,married,mobile,April,28,387,2,unidentified,1
executive,60,college,married,mobile,July,8,59,1,unidentified,0
executive,54,elementary_school,married,mobile,June,2,236,2,unidentified,1
domestic_worker,37,high_school,married,mobile,August,6,499,2,unidentified,0
service_worker,38,high_school,married,mobile,February,4,226,1,unidentified,0
student,20,unidentified,single,mobile,September,23,317,1,unsuccessful,0
executive,33,college,married,mobile,August,7,402,2,unidentified,0
service_worker,36,high_school,divorced,mobile,April,17,101,1,unsuccessful,0
manual_worker,25,high_school,married,unidentified,June,19,549,1,unidentified,0
unidentified,54,high_school,married,mobile,May,13,260,1,successful,1
technical_specialist,58,elementary_school,married,unidentified,June,20,106,3,unidentified,0
manual_worker,45,elementary_school,married,mobile,May,4,742,4,unidentified,1
administrative_staff,33,high_school,married,landline,May,5,125,2,unidentified,0
technical_specialist,29,college,married,unidentified,May,28,430,1,unidentified,0
executive,57,college,married,landline,April,19,1143,5,unidentified,1
administrative_staff,32,high_school,married,mobile,July,8,228,2,unidentified,0
technical_specialist,53,high_school,married,mobile,May,13,1130,2,unidentified,1
manual_worker,47,high_school,married,mobile,March,13,3076,1,unidentified,1
administrative_staff,30,college,single,mobile,November,20,179,1,unidentified,0
manual_worker,42,elementary_school,married,landline,November,21,136,2,unsuccessful,0
